scenario,seed,b,c,q,K,G,rounds,partner,model,cooperation_rate,mean_r1,mean_rho,mean_r2,mean_cfe,mean_brier,bonus,trajectory_scalar,parse_failures
38,0,5.62350417005425,2.6594544202721186,0.75,6,2,8,grim_trigger,qwen3-8b-base,1.0,0.6789245785463561,1.0,0.3038802950503664,0.2755198410808818,0.0902777777777778,0.08946228927317801,0.8562277392154289,0
38,1,5.62350417005425,2.6594544202721186,0.75,6,2,8,grim_trigger,qwen3-8b-base,0.875,0.7190590062280616,0.7142857142857143,0.21705735360740455,0.24874495454851625,0.04152777777777779,0.05218633540935388,0.8182671744873773,0
39,0,3.3902465548916982,2.413837692402849,0.0,4,2,7,always_cooperate,qwen3-8b-base,1.0,0.5841139463942121,1.0,0.06102812001563685,0.19807925703501864,0.11607142857142858,-0.030040695140790014,0.541810910015084,0
39,1,3.3902465548916982,2.413837692402849,0.0,4,2,7,always_cooperate,qwen3-8b-base,0.7142857142857143,0.702938533138723,0.6666666666666666,0.0406854133437579,0.14114419219724736,0.039642857142857146,-0.024032556112631998,0.6696186280820525,2
40,0,3.185268505936765,2.6342556615081723,0.5,6,3,8,random,qwen3-8b-base,0.25,0.5447468460723445,0.14285714285714285,0.03533765150645226,0.38026700792224544,0.03875000000000001,-0.0064108611405422344,0.38914963597510627,1
40,1,3.185268505936765,2.6342556615081723,0.5,6,3,8,random,qwen3-8b-base,1.0,0.4789240258311961,0.7142857142857143,0.1766882575322613,0.40251790488103284,0.022083333333333323,0.009369720128484804,0.45552454593900166,0
41,0,4.4104108788383005,4.403489555580511,0.5,6,2,8,always_cooperate,qwen3-8b-base,0.0,1.0,-1.0,-0.26236268495119985,0.10271907083178317,0.11111111111111115,0.00012269899882314897,0.6862931170077616,2
41,1,4.4104108788383005,4.403489555580511,0.5,6,2,8,always_cooperate,qwen3-8b-base,0.75,0.6252944775971754,0.42857142857142855,0.11244115069337135,0.09512448620685997,0.1519444444444445,0.00017177859835237896,0.6901948575119108,1
42,0,4.322472359988043,1.5710954444330714,0.5,6,3,5,grim_trigger,qwen3-8b-base,1.0,0.7334220125109107,1.0,0.18907771874219534,0.29969247653805786,0.07911111111111112,-0.015561467500727311,0.7695411994839316,0
42,1,4.322472359988043,1.5710954444330714,0.5,6,3,5,grim_trigger,qwen3-8b-base,1.0,0.7334220125109107,1.0,0.18907771874219534,0.2865174837519687,0.00844444444444444,0.027232568126272956,0.7846875030023762,0
43,0,3.2264939813937095,2.553293381148996,0.5,6,3,9,tit_for_tat,qwen3-8b-base,0.8888888888888888,0.5452958243974785,0.5,0.12406010150643912,0.2847906426678086,0.01876543209876544,0.02911874425552183,0.5301960205984046,1
